artist,id,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
Selena Gomez,0MDQDdfygVWtSpcNYMwZru,0.419,0.00494,0.642,0.839,0,0.542,0.0457
Selena Gomez,3bllCDgAk8MXREkgRiZSP9,0.662,0.08,0.715,0.812,0,0.618,0.212
Selena Gomez,5sQeyJ1kOsqR3mUZNJZy5o,0.26,0.00346,0.443,0.886,0,0.111,0.0921
Selena Gomez,6BOKsLgpOKxbNyDWRy9YXm,0.935,0.0736,0.705,0.903,0,0.185,0.118
Selena Gomez,4ApML0CHyQbuWBVpFoRmU4,0.573,0.0101,0.546,0.787,0.00021,0.0809,0.0517
Selena Gomez,2WPMtxXcrzPkuiJXCqRE1Y,0.229,0.178,0.507,0.959,2.22e-05,0.0746,0.172
Selena Gomez,2Bfr5I1eateHjhhjEHAjnp,0.531,0.00115,0.666,0.836,2.22e-05,0.132,0.036
Selena Gomez,5oUE3pJ8Y4lEYkaIJjPwEV,0.665,0.0131,0.894,0.597,0.00138,0.0969,0.0524
Selena Gomez,7KvnQOu695AvtTM4XBbasQ,0.379,0.00415,0.629,0.755,1.11e-05,0.207,0.0466
Selena Gomez,5XuwxxHThuDIaqRKoHOiGK,0.734,0.0148,0.633,0.683,0.00028,0.129,0.119
Selena Gomez,0o42ucdkIDgoKYxVYZWEW3,0.33,0.0132,0.634,0.956,0,0.0978,0.152
Selena Gomez,1TSXBNZCekaomsxMwlwI83,0.462,0.0737,0.613,0.86,0,0.172,0.0485
Selena Gomez,2xZyqPZdWLhdKl4AobRAhj,0.537,0.0712,0.597,0.657,0,0.255,0.0701
Selena Gomez,5YowZzB3pou7vgfWI0VSfa,0.489,0.00346,0.519,0.953,0.000685,0.148,0.164
Selena Gomez,345HZXxfL8S8HkVzytD1Pw,0.419,0.00494,0.642,0.839,0,0.534,0.0455
Selena Gomez,2OsEJFTfzfjG4oC92cuP2c,0.721,0.073,0.722,0.821,0,0.631,0.165
Selena Gomez,2MTMeQZLVI9yiZIXsCbzGi,0.26,0.00346,0.443,0.886,0,0.111,0.0921
Selena Gomez,6vftvAdsEAAJTGQrUmHnei,0.935,0.0736,0.705,0.903,0,0.185,0.118
Selena Gomez,6LoQHIo74tOzQ8EsLEkhgF,0.573,0.0101,0.546,0.787,0.00021,0.0809,0.0517
Selena Gomez,7D39d96OheT62fgxoGaElz,0.229,0.178,0.507,0.959,2.22e-05,0.0746,0.172
Selena Gomez,594fJDaRhC2bcHilqoc8U4,0.531,0.00115,0.666,0.836,2.22e-05,0.132,0.036
Selena Gomez,5KzBPwPBbMKQwK9OFOwBtV,0.665,0.0131,0.894,0.597,0.00138,0.0969,0.0524
Selena Gomez,7xWZ6yrBuZF3E9iYnUNs3C,0.379,0.00415,0.629,0.755,1.11e-05,0.207,0.0466
Selena Gomez,3RrJTOClOgMAc9FQ7QDwv7,0.734,0.0148,0.633,0.683,0.00028,0.129,0.119
Selena Gomez,0OkJtCF6yQIdK11ge58uXD,0.33,0.0132,0.634,0.956,0,0.0978,0.152
